C,Gamma,Kernel,Validation Loss
5,1,polynomial,0.9653371945066036
5,1,rbf,0.8810758632793647
5,2,polynomial,0.9063884866833399
5,2,rbf,0.8632705892676935
5,3,polynomial,0.5243955947523146
5,3,rbf,0.8614014303891887
5,4,polynomial,0.5243955947523146
5,4,rbf,0.8604668509499364
10,1,polynomial,0.9672107410820061
10,1,rbf,0.8810758632793647
10,2,polynomial,0.9063884866833399
10,2,rbf,0.8632705892676935
10,3,polynomial,0.5243955947523146
10,3,rbf,0.8614014303891887
10,4,polynomial,0.5243955947523146
10,4,rbf,0.8604668509499364
15,1,polynomial,0.9672107410820061
15,1,rbf,0.8810758632793647
15,2,polynomial,0.9063884866833399
15,2,rbf,0.8632705892676935
15,3,polynomial,0.5243955947523146
15,3,rbf,0.8614014303891887
15,4,polynomial,0.5243955947523146
15,4,rbf,0.8604668509499364
20,1,polynomial,0.9653371945066036
20,1,rbf,0.8810758632793647
20,2,polynomial,0.9063884866833399
20,2,rbf,0.8632705892676935
20,3,polynomial,0.5243955947523146
20,3,rbf,0.8614014303891887
20,4,polynomial,0.5243955947523146
20,4,rbf,0.8604668509499364
25,1,polynomial,0.9643982273704534
25,1,rbf,0.8810758632793647
25,2,polynomial,0.9063884866833399
25,2,rbf,0.8632705892676935
25,3,polynomial,0.5243955947523146
25,3,rbf,0.8614014303891887
25,4,polynomial,0.5243955947523146
25,4,rbf,0.8604668509499364
30,1,polynomial,0.9643982273704534
30,1,rbf,0.8810758632793647
30,2,polynomial,0.9063884866833399
30,2,rbf,0.8632705892676935
30,3,polynomial,0.5243955947523146
30,3,rbf,0.8614014303891887
30,4,polynomial,0.5243955947523146
30,4,rbf,0.8604668509499364
40,1,polynomial,0.9643982273704534
40,1,rbf,0.8810758632793647
40,2,polynomial,0.9063884866833399
40,2,rbf,0.8632705892676935
40,3,polynomial,0.5243955947523146
40,3,rbf,0.8614014303891887
40,4,polynomial,0.5243955947523146
40,4,rbf,0.8604668509499364
50,1,polynomial,0.9653328068097057
50,1,rbf,0.8810758632793647
50,2,polynomial,0.9063884866833399
50,2,rbf,0.8632705892676935
50,3,polynomial,0.5243955947523146
50,3,rbf,0.8614014303891887
50,4,polynomial,0.5243955947523146
50,4,rbf,0.8604668509499364
